dc1,Nx,Ny,c,f,dc2,ht,lg1,i,mathindex,N
8.5mm,1,4,2.0mm,200.0kHz,4.6mm,3.1mm,0.9mm,3.0A,copper_lizt_c_2,2598
15.0mm,6,9,1.0mm,100.0kHz,7.5mm,6.5mm,1.9mm,8.0A,copper_lizt_c_1,2599
13.0mm,4,2,2.0mm,400.0kHz,3.9mm,7.4mm,2.5mm,37.0A,copper_lizt_c_2,2600
10.0mm,3,3,3.0mm,100.0kHz,5.5mm,3.5mm,3.1mm,22.0A,copper_lizt_c_3,2601
14.5mm,7,2,1.0mm,100.0kHz,7.9mm,6.4mm,3.5mm,42.0A,copper_lizt_c_1,2602
10.0mm,5,3,1.5mm,300.0kHz,5.0mm,5.0mm,3.5mm,20.0A,copper_lizt_c_1.5,2603
10.5mm,1,1,2.5mm,100.0kHz,5.2mm,6.2mm,2.3mm,31.0A,copper_lizt_c_2.5,2604
11.0mm,2,2,4.0mm,400.0kHz,5.8mm,4.8mm,1.5mm,20.0A,copper_lizt_c_4,2605
19.0mm,8,1,1.0mm,300.0kHz,7.7mm,6.7mm,0.3mm,2.0A,copper_lizt_c_1,2606
13.0mm,5,1,1.0mm,400.0kHz,3.9mm,6.9mm,2.1mm,49.0A,copper_lizt_c_1,2607
18.0mm,5,1,1.5mm,300.0kHz,5.4mm,5.4mm,0.3mm,8.0A,copper_lizt_c_1.5,2608
12.0mm,2,2,4.0mm,400.0kHz,7.1mm,6.1mm,1.5mm,20.0A,copper_lizt_c_4,2609
16.5mm,1,2,2.0mm,100.0kHz,6.0mm,6.0mm,1.7mm,29.0A,copper_lizt_c_2,2610
12.0mm,1,2,3.0mm,400.0kHz,6.1mm,5.6mm,2.9mm,6.0A,copper_lizt_c_3,2611
14.5mm,2,5,1.0mm,200.0kHz,7.9mm,4.4mm,3.3mm,41.0A,copper_lizt_c_1,2612
11.5mm,1,1,3.5mm,200.0kHz,5.5mm,4.5mm,0.7mm,23.0A,copper_lizt_c_3.5,2613
11.0mm,4,8,1.0mm,200.0kHz,6.8mm,4.3mm,3.1mm,5.0A,copper_lizt_c_1,2614
19.0mm,1,3,3.0mm,200.0kHz,6.7mm,7.2mm,3.3mm,17.0A,copper_lizt_c_3,2615
11.0mm,1,2,3.5mm,400.0kHz,3.8mm,4.3mm,2.5mm,20.0A,copper_lizt_c_3.5,2616
10.5mm,2,3,2.5mm,200.0kHz,5.7mm,3.2mm,2.7mm,44.0A,copper_lizt_c_2.5,2617
11.5mm,1,4,1.0mm,200.0kHz,6.5mm,5.0mm,3.3mm,12.0A,copper_lizt_c_1,2618
11.0mm,5,4,1.5mm,100.0kHz,3.3mm,5.3mm,1.7mm,17.0A,copper_lizt_c_1.5,2619
13.5mm,6,2,1.5mm,400.0kHz,6.1mm,5.1mm,1.3mm,23.0A,copper_lizt_c_1.5,2620
16.0mm,1,3,2.0mm,300.0kHz,6.8mm,5.8mm,3.3mm,18.0A,copper_lizt_c_2,2621
19.0mm,2,2,4.5mm,300.0kHz,6.7mm,6.2mm,0.5mm,10.0A,copper_lizt_c_4.5,2622
13.0mm,9,8,1.0mm,400.0kHz,7.4mm,5.4mm,2.5mm,3.0A,copper_lizt_c_1,2623
13.0mm,1,2,3.0mm,100.0kHz,6.4mm,6.9mm,2.5mm,40.0A,copper_lizt_c_3,2624
10.5mm,6,6,1.5mm,100.0kHz,6.2mm,3.7mm,1.7mm,8.0A,copper_lizt_c_1.5,2625
19.0mm,1,2,3.5mm,100.0kHz,8.2mm,6.7mm,1.3mm,35.0A,copper_lizt_c_3.5,2626
15.0mm,3,1,3.0mm,200.0kHz,6.5mm,7.0mm,2.7mm,26.0A,copper_lizt_c_3,2627
12.5mm,1,2,2.0mm,300.0kHz,5.7mm,5.7mm,2.3mm,9.0A,copper_lizt_c_2,2628
13.5mm,2,2,2.5mm,100.0kHz,8.1mm,7.1mm,2.5mm,19.0A,copper_lizt_c_2.5,2629
15.0mm,7,1,1.0mm,400.0kHz,6.5mm,6.0mm,2.5mm,35.0A,copper_lizt_c_1,2630
11.5mm,3,4,1.5mm,400.0kHz,5.5mm,5.5mm,3.5mm,32.0A,copper_lizt_c_1.5,2631
8.0mm,3,3,3.0mm,400.0kHz,4.4mm,4.4mm,1.3mm,19.0A,copper_lizt_c_3,2632
16.5mm,2,3,3.0mm,200.0kHz,6.5mm,7.0mm,0.3mm,2.0A,copper_lizt_c_3,2633
18.5mm,2,5,1.0mm,400.0kHz,6.1mm,6.1mm,0.9mm,2.0A,copper_lizt_c_1,2634
8.0mm,5,1,1.5mm,300.0kHz,3.9mm,4.9mm,3.9mm,47.0A,copper_lizt_c_1.5,2635
7.5mm,2,1,4.5mm,300.0kHz,4.8mm,3.8mm,0.3mm,20.0A,copper_lizt_c_4.5,2636
15.5mm,2,4,1.0mm,300.0kHz,5.2mm,5.2mm,1.7mm,14.0A,copper_lizt_c_1,2637
7.0mm,1,3,1.0mm,100.0kHz,2.6mm,2.6mm,3.1mm,46.0A,copper_lizt_c_1,2638
13.0mm,3,5,1.0mm,300.0kHz,5.4mm,6.4mm,2.1mm,31.0A,copper_lizt_c_1,2639
10.5mm,4,2,1.5mm,400.0kHz,4.2mm,4.2mm,3.3mm,30.0A,copper_lizt_c_1.5,2640
6.5mm,5,1,1.0mm,400.0kHz,4.0mm,3.0mm,3.7mm,8.0A,copper_lizt_c_1,2641
14.0mm,2,2,2.5mm,200.0kHz,6.7mm,5.2mm,1.1mm,8.0A,copper_lizt_c_2.5,2642
9.5mm,2,2,3.0mm,100.0kHz,4.9mm,5.9mm,0.3mm,3.0A,copper_lizt_c_3,2643
17.5mm,1,6,1.0mm,400.0kHz,5.3mm,5.8mm,0.5mm,13.0A,copper_lizt_c_1,2644
13.5mm,1,5,1.0mm,300.0kHz,4.1mm,6.6mm,0.7mm,32.0A,copper_lizt_c_1,2645
9.5mm,1,1,2.5mm,200.0kHz,5.9mm,3.9mm,3.5mm,28.0A,copper_lizt_c_2.5,2646
17.0mm,2,1,2.5mm,200.0kHz,6.6mm,5.1mm,1.1mm,16.0A,copper_lizt_c_2.5,2647
12.5mm,3,2,2.5mm,200.0kHz,6.2mm,5.7mm,1.5mm,26.0A,copper_lizt_c_2.5,2648
14.5mm,2,2,3.5mm,300.0kHz,4.4mm,4.9mm,2.1mm,2.0A,copper_lizt_c_3.5,2649
17.0mm,3,1,2.5mm,300.0kHz,7.6mm,6.6mm,1.1mm,36.0A,copper_lizt_c_2.5,2650
6.5mm,1,2,1.5mm,100.0kHz,3.5mm,3.0mm,1.3mm,7.0A,copper_lizt_c_1.5,2651
11.0mm,2,6,1.0mm,300.0kHz,3.8mm,5.3mm,1.3mm,9.0A,copper_lizt_c_1,2652
11.0mm,7,3,1.0mm,300.0kHz,6.3mm,3.8mm,3.5mm,39.0A,copper_lizt_c_1,2653
10.5mm,1,3,1.5mm,300.0kHz,3.7mm,4.2mm,3.5mm,9.0A,copper_lizt_c_1.5,2654
11.5mm,1,2,4.0mm,300.0kHz,6.5mm,3.5mm,3.3mm,15.0A,copper_lizt_c_4,2655
12.5mm,3,6,1.5mm,200.0kHz,4.8mm,5.2mm,3.1mm,34.0A,copper_lizt_c_1.5,2656
10.5mm,4,4,1.0mm,400.0kHz,5.7mm,3.2mm,1.5mm,21.0A,copper_lizt_c_1,2657
15.5mm,1,3,3.0mm,400.0kHz,7.2mm,7.2mm,3.7mm,49.0A,copper_lizt_c_3,2658
10.0mm,1,1,3.5mm,200.0kHz,5.5mm,5.5mm,3.3mm,36.0A,copper_lizt_c_3.5,2659
7.5mm,6,7,1.0mm,400.0kHz,2.3mm,2.3mm,2.7mm,1.0A,copper_lizt_c_1,2660
12.0mm,2,4,2.0mm,200.0kHz,6.6mm,4.1mm,1.3mm,33.0A,copper_lizt_c_2,2661
17.0mm,5,4,1.0mm,400.0kHz,7.6mm,6.1mm,3.3mm,9.0A,copper_lizt_c_1,2662
16.5mm,2,5,1.0mm,400.0kHz,7.5mm,7.0mm,2.3mm,45.0A,copper_lizt_c_1,2663
18.5mm,4,4,1.0mm,300.0kHz,7.6mm,6.6mm,3.3mm,11.0A,copper_lizt_c_1,2664
8.5mm,3,2,2.0mm,200.0kHz,4.1mm,3.6mm,3.1mm,37.0A,copper_lizt_c_2,2665
15.0mm,4,5,1.5mm,400.0kHz,5.0mm,6.0mm,3.5mm,38.0A,copper_lizt_c_1.5,2666
6.0mm,4,3,1.5mm,200.0kHz,2.3mm,1.8mm,3.5mm,17.0A,copper_lizt_c_1.5,2667
17.0mm,3,3,1.5mm,100.0kHz,6.1mm,5.1mm,2.5mm,42.0A,copper_lizt_c_1.5,2668
15.5mm,2,4,2.0mm,100.0kHz,6.7mm,4.7mm,3.1mm,43.0A,copper_lizt_c_2,2669
15.0mm,1,2,1.5mm,100.0kHz,6.5mm,5.5mm,0.5mm,2.0A,copper_lizt_c_1.5,2670
15.5mm,1,2,1.5mm,300.0kHz,8.2mm,5.7mm,2.7mm,30.0A,copper_lizt_c_1.5,2671
6.0mm,3,6,1.5mm,200.0kHz,3.8mm,2.3mm,3.7mm,34.0A,copper_lizt_c_1.5,2672
11.0mm,1,9,1.0mm,100.0kHz,6.3mm,6.3mm,2.7mm,2.0A,copper_lizt_c_1,2673
15.0mm,9,9,1.0mm,200.0kHz,5.5mm,8.0mm,1.3mm,1.0A,copper_lizt_c_1,2674
13.5mm,6,6,1.5mm,400.0kHz,5.1mm,4.6mm,3.5mm,13.0A,copper_lizt_c_1.5,2675
6.0mm,3,8,1.0mm,200.0kHz,2.3mm,2.8mm,2.7mm,2.0A,copper_lizt_c_1,2676
17.5mm,2,2,4.0mm,400.0kHz,7.3mm,7.3mm,2.7mm,23.0A,copper_lizt_c_4,2677
11.5mm,6,2,1.5mm,400.0kHz,3.5mm,5.0mm,2.5mm,36.0A,copper_lizt_c_1.5,2678
19.0mm,4,1,1.0mm,200.0kHz,7.2mm,7.7mm,3.1mm,6.0A,copper_lizt_c_1,2679
9.5mm,1,2,2.0mm,400.0kHz,4.9mm,4.4mm,0.5mm,29.0A,copper_lizt_c_2,2680
17.0mm,6,1,1.5mm,300.0kHz,5.6mm,6.1mm,0.5mm,15.0A,copper_lizt_c_1.5,2681
18.5mm,1,2,4.5mm,200.0kHz,6.6mm,5.6mm,1.9mm,43.0A,copper_lizt_c_4.5,2682
10.0mm,3,2,1.5mm,100.0kHz,5.5mm,4.0mm,3.3mm,42.0A,copper_lizt_c_1.5,2683
17.5mm,1,1,4.0mm,200.0kHz,6.8mm,6.8mm,2.7mm,11.0A,copper_lizt_c_4,2684
19.5mm,4,8,1.0mm,300.0kHz,7.9mm,6.9mm,0.7mm,3.0A,copper_lizt_c_1,2685
13.5mm,4,1,2.0mm,300.0kHz,7.1mm,5.1mm,3.9mm,17.0A,copper_lizt_c_2,2686
12.5mm,2,3,2.5mm,400.0kHz,6.7mm,5.7mm,3.9mm,14.0A,copper_lizt_c_2.5,2687
8.0mm,5,2,1.5mm,300.0kHz,3.9mm,2.9mm,2.3mm,15.0A,copper_lizt_c_1.5,2688
13.0mm,3,5,1.0mm,200.0kHz,6.4mm,6.4mm,3.7mm,7.0A,copper_lizt_c_1,2689
11.0mm,3,1,3.0mm,100.0kHz,3.3mm,5.3mm,1.1mm,39.0A,copper_lizt_c_3,2690
11.5mm,3,2,2.5mm,400.0kHz,6.0mm,6.5mm,2.5mm,27.0A,copper_lizt_c_2.5,2691
6.0mm,1,3,2.5mm,300.0kHz,2.8mm,1.8mm,1.1mm,44.0A,copper_lizt_c_2.5,2692
8.5mm,2,1,3.0mm,200.0kHz,4.1mm,3.1mm,2.7mm,47.0A,copper_lizt_c_3,2693
9.5mm,5,3,1.0mm,100.0kHz,4.9mm,4.9mm,3.7mm,49.0A,copper_lizt_c_1,2694
7.5mm,3,2,2.5mm,400.0kHz,2.3mm,4.8mm,3.9mm,2.0A,copper_lizt_c_2.5,2695
19.5mm,4,3,2.0mm,100.0kHz,6.4mm,5.9mm,3.1mm,10.0A,copper_lizt_c_2,2696
16.5mm,2,4,2.0mm,300.0kHz,7.0mm,6.5mm,2.5mm,28.0A,copper_lizt_c_2,2697
13.5mm,3,4,2.0mm,400.0kHz,8.1mm,4.1mm,3.9mm,14.0A,copper_lizt_c_2,2698
12.5mm,2,4,1.5mm,400.0kHz,6.2mm,6.2mm,2.7mm,24.0A,copper_lizt_c_1.5,2699
10.0mm,2,6,1.5mm,300.0kHz,5.0mm,4.0mm,1.1mm,15.0A,copper_lizt_c_1.5,2700
12.0mm,5,1,1.0mm,400.0kHz,3.6mm,6.1mm,1.5mm,18.0A,copper_lizt_c_1,2701
13.5mm,8,6,1.0mm,200.0kHz,6.6mm,6.6mm,1.7mm,7.0A,copper_lizt_c_1,2702
10.5mm,1,9,1.0mm,400.0kHz,4.7mm,5.2mm,3.5mm,30.0A,copper_lizt_c_1,2703
5.0mm,2,6,1.0mm,100.0kHz,2.5mm,3.0mm,1.7mm,30.0A,copper_lizt_c_1,2704
9.0mm,1,1,3.0mm,400.0kHz,5.2mm,2.7mm,3.9mm,42.0A,copper_lizt_c_3,2705
13.0mm,1,1,1.0mm,100.0kHz,4.4mm,4.9mm,2.7mm,32.0A,copper_lizt_c_1,2706
13.5mm,2,1,4.5mm,300.0kHz,8.1mm,7.1mm,2.1mm,40.0A,copper_lizt_c_4.5,2707
11.0mm,1,2,1.5mm,300.0kHz,5.3mm,4.8mm,2.1mm,12.0A,copper_lizt_c_1.5,2708
6.5mm,7,1,1.0mm,300.0kHz,3.5mm,3.5mm,3.9mm,36.0A,copper_lizt_c_1,2709
11.5mm,3,7,1.0mm,300.0kHz,7.0mm,7.0mm,1.7mm,17.0A,copper_lizt_c_1,2710
12.5mm,4,3,1.5mm,300.0kHz,6.2mm,4.8mm,2.1mm,31.0A,copper_lizt_c_1.5,2711
8.0mm,7,7,1.0mm,200.0kHz,4.4mm,2.4mm,1.9mm,2.0A,copper_lizt_c_1,2712
9.5mm,3,2,2.0mm,400.0kHz,5.4mm,5.9mm,1.3mm,19.0A,copper_lizt_c_2,2713
15.5mm,9,3,1.0mm,300.0kHz,8.2mm,4.7mm,3.5mm,13.0A,copper_lizt_c_1,2714
11.5mm,1,3,3.0mm,200.0kHz,7.0mm,6.0mm,1.5mm,14.0A,copper_lizt_c_3,2715
10.5mm,1,1,4.5mm,200.0kHz,5.2mm,5.2mm,3.1mm,34.0A,copper_lizt_c_4.5,2716
15.0mm,3,4,1.5mm,300.0kHz,5.5mm,7.0mm,3.9mm,35.0A,copper_lizt_c_1.5,2717
7.5mm,2,2,4.0mm,300.0kHz,2.3mm,3.3mm,3.1mm,23.0A,copper_lizt_c_4,2718
17.0mm,2,1,2.0mm,300.0kHz,8.1mm,7.1mm,3.7mm,36.0A,copper_lizt_c_2,2719
15.0mm,3,2,1.0mm,100.0kHz,4.5mm,5.5mm,0.9mm,13.0A,copper_lizt_c_1,2720
16.0mm,3,1,1.5mm,200.0kHz,6.3mm,4.8mm,2.9mm,40.0A,copper_lizt_c_1.5,2721
7.0mm,2,1,2.5mm,300.0kHz,2.1mm,2.6mm,3.9mm,48.0A,copper_lizt_c_2.5,2722
17.0mm,4,2,2.0mm,100.0kHz,5.1mm,6.6mm,1.1mm,29.0A,copper_lizt_c_2,2723
7.0mm,1,3,1.5mm,100.0kHz,3.6mm,2.1mm,1.3mm,46.0A,copper_lizt_c_1.5,2724
9.0mm,2,1,3.5mm,300.0kHz,3.7mm,4.2mm,1.5mm,21.0A,copper_lizt_c_3.5,2725
11.5mm,2,2,1.5mm,100.0kHz,5.5mm,6.5mm,0.9mm,21.0A,copper_lizt_c_1.5,2726
18.5mm,3,3,3.0mm,400.0kHz,8.1mm,6.1mm,0.7mm,3.0A,copper_lizt_c_3,2727
13.0mm,2,4,2.0mm,100.0kHz,4.4mm,7.4mm,2.9mm,15.0A,copper_lizt_c_2,2728
5.0mm,1,2,4.5mm,100.0kHz,2.5mm,3.0mm,0.7mm,48.0A,copper_lizt_c_4.5,2729
11.0mm,6,1,1.0mm,300.0kHz,6.8mm,5.8mm,0.5mm,6.0A,copper_lizt_c_1,2730
18.0mm,3,6,1.5mm,200.0kHz,6.9mm,5.9mm,2.3mm,21.0A,copper_lizt_c_1.5,2731
6.0mm,1,2,3.5mm,200.0kHz,2.8mm,2.8mm,0.1mm,10.0A,copper_lizt_c_3.5,2732
15.0mm,1,6,1.5mm,100.0kHz,7.5mm,7.5mm,0.9mm,25.0A,copper_lizt_c_1.5,2733
12.0mm,2,1,4.5mm,400.0kHz,3.6mm,6.6mm,0.9mm,7.0A,copper_lizt_c_4.5,2734
19.5mm,2,5,1.0mm,300.0kHz,5.9mm,6.4mm,3.7mm,12.0A,copper_lizt_c_1,2735
17.0mm,2,2,4.0mm,400.0kHz,5.1mm,5.1mm,3.5mm,9.0A,copper_lizt_c_4,2736
12.5mm,1,1,4.5mm,100.0kHz,3.8mm,6.7mm,2.9mm,34.0A,copper_lizt_c_4.5,2737
10.5mm,3,4,2.0mm,300.0kHz,5.2mm,3.2mm,3.7mm,49.0A,copper_lizt_c_2,2738
16.0mm,6,2,1.0mm,100.0kHz,6.8mm,5.3mm,3.9mm,9.0A,copper_lizt_c_1,2739
12.5mm,1,2,2.0mm,100.0kHz,6.7mm,3.8mm,0.5mm,8.0A,copper_lizt_c_2,2740
12.0mm,4,1,1.0mm,100.0kHz,5.1mm,5.1mm,3.3mm,9.0A,copper_lizt_c_1,2741
9.5mm,9,5,1.0mm,100.0kHz,3.4mm,3.4mm,2.7mm,13.0A,copper_lizt_c_1,2742
13.5mm,8,2,1.0mm,200.0kHz,6.1mm,6.6mm,3.7mm,34.0A,copper_lizt_c_1,2743
13.0mm,7,3,1.0mm,200.0kHz,6.4mm,6.9mm,1.9mm,9.0A,copper_lizt_c_1,2744
17.0mm,3,3,1.5mm,200.0kHz,5.1mm,5.1mm,0.7mm,17.0A,copper_lizt_c_1.5,2745
10.0mm,2,4,1.5mm,100.0kHz,3.5mm,3.5mm,0.5mm,14.0A,copper_lizt_c_1.5,2746
14.0mm,3,1,1.5mm,100.0kHz,5.7mm,8.2mm,2.9mm,41.0A,copper_lizt_c_1.5,2747
7.5mm,1,3,3.0mm,300.0kHz,3.3mm,4.8mm,2.3mm,22.0A,copper_lizt_c_3,2748
11.0mm,7,6,1.0mm,400.0kHz,4.8mm,6.8mm,3.1mm,4.0A,copper_lizt_c_1,2749
14.0mm,1,2,3.5mm,300.0kHz,5.7mm,7.7mm,1.1mm,27.0A,copper_lizt_c_3.5,2750
19.5mm,2,6,1.0mm,200.0kHz,7.4mm,5.9mm,1.3mm,4.0A,copper_lizt_c_1,2751
5.0mm,1,2,2.0mm,100.0kHz,2.0mm,2.0mm,1.7mm,28.0A,copper_lizt_c_2,2752
18.0mm,6,6,1.5mm,200.0kHz,6.9mm,5.4mm,3.1mm,8.0A,copper_lizt_c_1.5,2753
8.0mm,2,3,2.0mm,200.0kHz,2.9mm,3.9mm,2.9mm,22.0A,copper_lizt_c_2,2754
11.5mm,5,1,1.0mm,400.0kHz,4.5mm,4.0mm,3.7mm,24.0A,copper_lizt_c_1,2755
16.0mm,2,3,2.0mm,300.0kHz,6.8mm,6.3mm,1.1mm,33.0A,copper_lizt_c_2,2756
9.0mm,3,9,1.0mm,400.0kHz,3.2mm,5.2mm,3.5mm,1.0A,copper_lizt_c_1,2757
14.0mm,2,2,4.5mm,300.0kHz,4.7mm,6.2mm,2.9mm,39.0A,copper_lizt_c_4.5,2758
13.0mm,7,8,1.0mm,300.0kHz,4.4mm,6.4mm,3.3mm,13.0A,copper_lizt_c_1,2759
5.5mm,2,5,1.0mm,200.0kHz,2.7mm,2.2mm,2.9mm,33.0A,copper_lizt_c_1,2760
7.5mm,6,3,1.5mm,100.0kHz,4.8mm,2.8mm,1.7mm,9.0A,copper_lizt_c_1.5,2761
19.5mm,2,6,1.0mm,400.0kHz,5.9mm,6.9mm,2.9mm,29.0A,copper_lizt_c_1,2762
13.5mm,1,2,4.0mm,400.0kHz,4.6mm,4.6mm,3.1mm,8.0A,copper_lizt_c_4,2763
10.5mm,1,1,4.0mm,100.0kHz,4.7mm,6.2mm,1.1mm,13.0A,copper_lizt_c_4,2764
19.0mm,1,6,1.5mm,300.0kHz,6.2mm,8.2mm,3.5mm,46.0A,copper_lizt_c_1.5,2765
11.5mm,1,2,1.5mm,100.0kHz,7.0mm,5.5mm,3.3mm,25.0A,copper_lizt_c_1.5,2766
8.5mm,7,3,1.0mm,100.0kHz,2.6mm,5.1mm,1.9mm,1.0A,copper_lizt_c_1,2767
16.0mm,1,9,1.0mm,200.0kHz,7.8mm,5.8mm,1.5mm,17.0A,copper_lizt_c_1,2768
8.5mm,2,9,1.0mm,200.0kHz,3.6mm,5.1mm,3.9mm,19.0A,copper_lizt_c_1,2769
16.5mm,4,2,2.0mm,400.0kHz,6.0mm,5.0mm,3.9mm,39.0A,copper_lizt_c_2,2770
15.0mm,1,2,1.0mm,200.0kHz,7.5mm,4.5mm,1.1mm,47.0A,copper_lizt_c_1,2771
13.5mm,1,4,1.5mm,300.0kHz,8.1mm,4.1mm,3.5mm,36.0A,copper_lizt_c_1.5,2772
6.0mm,2,2,1.5mm,400.0kHz,1.8mm,3.8mm,3.1mm,5.0A,copper_lizt_c_1.5,2773
18.5mm,1,1,4.0mm,400.0kHz,6.6mm,7.6mm,2.9mm,33.0A,copper_lizt_c_4,2774
13.0mm,6,2,1.0mm,100.0kHz,6.4mm,5.4mm,1.9mm,35.0A,copper_lizt_c_1,2775
5.5mm,2,7,1.0mm,300.0kHz,3.2mm,3.2mm,2.5mm,6.0A,copper_lizt_c_1,2776
17.5mm,5,5,1.5mm,400.0kHz,7.8mm,6.3mm,2.7mm,1.0A,copper_lizt_c_1.5,2777
15.0mm,2,1,1.0mm,300.0kHz,5.5mm,7.0mm,1.9mm,41.0A,copper_lizt_c_1,2778
7.0mm,3,6,1.0mm,400.0kHz,2.1mm,3.6mm,2.9mm,5.0A,copper_lizt_c_1,2779
14.5mm,2,1,4.5mm,100.0kHz,4.4mm,5.9mm,1.1mm,32.0A,copper_lizt_c_4.5,2780
18.0mm,3,2,3.0mm,200.0kHz,5.4mm,7.9mm,0.7mm,24.0A,copper_lizt_c_3,2781
13.0mm,2,6,1.5mm,400.0kHz,5.4mm,6.4mm,3.7mm,27.0A,copper_lizt_c_1.5,2782
11.0mm,5,5,1.5mm,300.0kHz,5.8mm,6.8mm,1.9mm,2.0A,copper_lizt_c_1.5,2783
17.5mm,2,2,4.5mm,100.0kHz,6.3mm,5.8mm,2.1mm,46.0A,copper_lizt_c_4.5,2784
17.5mm,1,4,1.0mm,100.0kHz,5.3mm,7.3mm,3.9mm,39.0A,copper_lizt_c_1,2785
19.0mm,1,1,4.5mm,100.0kHz,8.2mm,7.7mm,2.7mm,1.0A,copper_lizt_c_4.5,2786
7.5mm,7,2,1.0mm,400.0kHz,4.2mm,3.8mm,2.9mm,38.0A,copper_lizt_c_1,2787
19.0mm,3,1,3.0mm,100.0kHz,6.2mm,6.2mm,2.3mm,20.0A,copper_lizt_c_3,2788
11.0mm,3,6,1.0mm,200.0kHz,3.8mm,4.3mm,1.5mm,2.0A,copper_lizt_c_1,2789
17.0mm,4,1,1.0mm,300.0kHz,7.1mm,6.1mm,1.5mm,30.0A,copper_lizt_c_1,2790
15.5mm,2,8,1.0mm,200.0kHz,5.7mm,5.7mm,3.3mm,13.0A,copper_lizt_c_1,2791
11.5mm,1,1,2.5mm,400.0kHz,4.5mm,3.5mm,0.3mm,39.0A,copper_lizt_c_2.5,2792
15.5mm,3,2,1.5mm,200.0kHz,6.2mm,5.2mm,3.1mm,41.0A,copper_lizt_c_1.5,2793
14.5mm,1,4,1.5mm,400.0kHz,5.4mm,7.4mm,0.3mm,12.0A,copper_lizt_c_1.5,2794
10.5mm,2,4,2.0mm,200.0kHz,4.7mm,5.7mm,2.3mm,30.0A,copper_lizt_c_2,2795
17.0mm,2,1,2.5mm,400.0kHz,6.1mm,7.6mm,2.3mm,8.0A,copper_lizt_c_2.5,2796
19.5mm,1,1,4.0mm,300.0kHz,6.9mm,5.9mm,0.7mm,22.0A,copper_lizt_c_4,2797
17.0mm,1,2,4.0mm,400.0kHz,8.1mm,6.6mm,2.5mm,45.0A,copper_lizt_c_4,2798
16.0mm,2,1,3.0mm,400.0kHz,6.8mm,7.8mm,2.7mm,27.0A,copper_lizt_c_3,2799
15.0mm,6,5,1.5mm,100.0kHz,5.5mm,5.0mm,3.5mm,18.0A,copper_lizt_c_1.5,2800
16.5mm,2,2,4.0mm,200.0kHz,6.0mm,8.0mm,0.7mm,33.0A,copper_lizt_c_4,2801
14.5mm,3,2,2.5mm,400.0kHz,7.4mm,6.4mm,1.1mm,12.0A,copper_lizt_c_2.5,2802
6.0mm,6,3,1.5mm,300.0kHz,2.3mm,3.3mm,3.7mm,43.0A,copper_lizt_c_1.5,2803
10.5mm,3,8,1.0mm,300.0kHz,5.2mm,4.7mm,2.7mm,17.0A,copper_lizt_c_1,2804
18.5mm,4,1,1.5mm,200.0kHz,5.6mm,5.6mm,3.3mm,9.0A,copper_lizt_c_1.5,2805
10.0mm,8,6,1.0mm,400.0kHz,3.0mm,4.0mm,3.7mm,18.0A,copper_lizt_c_1,2806
15.5mm,1,3,2.5mm,300.0kHz,6.2mm,7.2mm,2.9mm,6.0A,copper_lizt_c_2.5,2807
11.0mm,7,2,1.0mm,200.0kHz,5.8mm,3.8mm,3.3mm,47.0A,copper_lizt_c_1,2808
19.0mm,1,5,1.0mm,400.0kHz,7.7mm,7.7mm,3.3mm,3.0A,copper_lizt_c_1,2809
15.5mm,2,2,2.5mm,400.0kHz,7.2mm,7.2mm,0.5mm,10.0A,copper_lizt_c_2.5,2810
11.5mm,8,2,1.0mm,300.0kHz,4.5mm,3.5mm,3.5mm,24.0A,copper_lizt_c_1,2811
17.5mm,4,2,1.5mm,300.0kHz,6.3mm,7.3mm,3.1mm,11.0A,copper_lizt_c_1.5,2812
15.5mm,1,3,2.5mm,200.0kHz,4.7mm,6.7mm,2.3mm,23.0A,copper_lizt_c_2.5,2813
18.0mm,6,4,1.0mm,400.0kHz,6.4mm,5.4mm,3.7mm,31.0A,copper_lizt_c_1,2814
13.5mm,3,6,1.0mm,400.0kHz,4.6mm,4.1mm,3.3mm,14.0A,copper_lizt_c_1,2815
9.0mm,3,2,2.0mm,200.0kHz,2.7mm,2.7mm,1.5mm,34.0A,copper_lizt_c_2,2816
13.5mm,9,6,1.0mm,400.0kHz,5.6mm,5.1mm,3.9mm,6.0A,copper_lizt_c_1,2817
14.5mm,2,1,2.0mm,200.0kHz,5.9mm,7.9mm,1.3mm,40.0A,copper_lizt_c_2,2818
9.5mm,1,1,3.5mm,400.0kHz,4.9mm,4.9mm,2.9mm,40.0A,copper_lizt_c_3.5,2819
11.5mm,2,1,4.5mm,200.0kHz,5.0mm,4.0mm,1.7mm,7.0A,copper_lizt_c_4.5,2820
10.0mm,1,7,1.0mm,100.0kHz,4.5mm,3.0mm,2.1mm,10.0A,copper_lizt_c_1,2821
13.0mm,8,1,1.0mm,200.0kHz,5.4mm,7.9mm,3.3mm,42.0A,copper_lizt_c_1,2822
16.5mm,2,5,1.5mm,100.0kHz,6.5mm,5.0mm,3.1mm,25.0A,copper_lizt_c_1.5,2823
8.5mm,1,1,2.5mm,300.0kHz,2.6mm,5.1mm,0.7mm,16.0A,copper_lizt_c_2.5,2824
8.5mm,5,1,1.0mm,200.0kHz,4.1mm,3.6mm,2.5mm,40.0A,copper_lizt_c_1,2825
10.5mm,1,1,3.0mm,200.0kHz,3.7mm,5.7mm,0.1mm,23.0A,copper_lizt_c_3,2826
